ts	label	median_p99_ms	runs	max_fail	max_chkfail	all_p99	overrides
2026-05-30T23:43:48Z	baseline	0.68054046	3	0	0	0.68054046,0.68392146,0.6342819500000001	
2026-05-30T23:51:02Z	budget16	0.6747564899999999	3	0	0	0.6747564899999999,0.6870504000000001,0.6289899	BUSY_BUDGET=16
2026-05-30T23:58:16Z	budget32	0.6026157999999998	3	0	0	0.61056608,0.6026157999999998,0.58850843	BUSY_BUDGET=32
2026-05-31T00:05:28Z	budget64	0.60738303	3	0	0	0.5894785600000001,0.6283567799999988,0.60738303	BUSY_BUDGET=64
2026-05-31T00:12:44Z	baseline_mid	0.58406375	3	0	0	0.5805976999999999,0.6060469,0.58406375	
2026-05-31T00:19:58Z	us40	0.5868045999999996	3	0	0	0.5986393,0.5868045999999996,0.56214254	BUSY_US=40
2026-05-31T00:27:12Z	us60	0.5968004100000001	3	0	0	0.58368937,0.5968004100000001,0.7483936200000002	BUSY_US=60
2026-05-31T00:34:30Z	us75	1.4723597300000002	3	0	0	1.65702551,1.4723597300000002,0.75702136	BUSY_US=75
2026-05-31T00:41:46Z	prefer0	0.6971099000000001	3	0	0	0.7029895399999996,0.6971099000000001,0.65801731	PREFER=0
2026-05-31T01:20:19Z	cpu_01_495	0.5619030199999999	3	0	0	0.5619030199999999,0.5650322599999998,0.5107867999999994	LB_CPU=0.01 API_CPU=0.495
2026-05-31T01:27:40Z	cpu_005_4975	0.45530427	3	0	0	0.4547700399999994,0.46769456000000004,0.45530427	LB_CPU=0.005 API_CPU=0.4975
2026-05-31T01:34:54Z	baseline_end	0.44029759000000007	3	0	0	0.44486539999999997,0.44029759000000007,0.43966177000000006	
